ip,obs_count,anomaly_count,anomaly_ratio,mean_score,lat_mean,lon_mean,lat_std,lon_std,first_seen,last_seen,cent_pred,cent_score,outlier_score
124.198.131.108,16,16,1.0,-0.08806820407230609,-42.0,174.0,0.0,0.0,2025-10-03 04:41:26,2025-10-14 07:33:05,-1,-0.09298766313877416,2.499999999999
124.198.131.114,16,16,1.0,-0.08806820407230609,-42.0,174.0,0.0,0.0,2025-10-03 04:41:54,2025-10-14 07:42:39,-1,-0.09298766313877416,2.499999999999
124.198.131.191,3,3,1.0,-0.08806820407230609,-42.0,174.0,0.0,0.0,2025-10-12 07:47:14,2025-10-14 07:25:23,-1,-0.09298766313877416,2.499999999999
124.198.131.223,16,16,1.0,-0.08806820407230609,-42.0,174.0,0.0,0.0,2025-10-03 04:45:10,2025-10-14 07:47:19,-1,-0.09298766313877416,2.499999999999
124.198.131.253,16,16,1.0,-0.08806820407230609,-42.0,174.0,0.0,0.0,2025-10-03 04:42:22,2025-10-14 07:46:12,-1,-0.09298766313877416,2.499999999999
124.198.131.29,16,16,1.0,-0.08806820407230609,-42.0,174.0,0.0,0.0,2025-10-03 04:43:09,2025-10-14 07:43:10,-1,-0.09298766313877416,2.499999999999
124.198.131.62,16,16,1.0,-0.08806820407230609,-42.0,174.0,0.0,0.0,2025-10-03 04:41:42,2025-10-14 07:30:35,-1,-0.09298766313877416,2.499999999999
124.198.132.13,16,16,1.0,-0.08806820407230609,-42.0,174.0,0.0,0.0,2025-10-03 04:44:25,2025-10-14 07:43:11,-1,-0.09298766313877416,2.499999999999
124.198.132.172,16,16,1.0,-0.08806820407230609,-42.0,174.0,0.0,0.0,2025-10-03 04:40:18,2025-10-14 07:46:28,-1,-0.09298766313877416,2.499999999999
124.198.132.237,16,16,1.0,-0.08806820407230609,-42.0,174.0,0.0,0.0,2025-10-03 04:42:47,2025-10-14 07:45:00,-1,-0.09298766313877416,2.499999999999
124.198.132.52,16,16,1.0,-0.08806820407230609,-42.0,174.0,0.0,0.0,2025-10-03 04:22:47,2025-10-14 07:32:42,-1,-0.09298766313877416,2.499999999999
216.73.159.101,16,16,1.0,-0.0863342274659834,-39.8,-73.2333,0.0,0.0,2025-10-03 04:34:24,2025-10-13 11:20:51,-1,-0.09197708616363309,2.495709204452673
216.73.159.75,16,16,1.0,-0.0863342274659834,-39.8,-73.2333,0.0,0.0,2025-10-03 03:02:55,2025-10-14 07:46:08,-1,-0.09197708616363309,2.495709204452673
139.99.172.11,16,16,1.0,-0.08039874894811494,-33.8601,151.2101,0.0,0.0,2025-10-03 03:07:27,2025-10-14 07:44:12,-1,-0.08427796907762608,2.481021621761579
172.105.174.195,16,16,1.0,-0.08039874894811494,-33.8601,151.2101,0.0,0.0,2025-10-03 04:11:09,2025-10-14 07:19:53,-1,-0.08427796907762608,2.481021621761579
203.55.81.1,16,16,1.0,-0.0754311707078188,-33.494,143.2104,0.0,0.0,2025-10-03 04:40:18,2025-10-14 07:45:11,-1,-0.0832479819266635,2.4687291476233635
203.55.81.2,16,16,1.0,-0.0754311707078188,-33.494,143.2104,0.0,0.0,2025-10-03 04:45:31,2025-10-14 07:42:09,-1,-0.0832479819266635,2.4687291476233635
125.253.56.119,16,16,1.0,-0.07223959140654634,-27.4719,153.0196,0.0,0.0,2025-10-03 04:11:26,2025-10-14 07:46:13,-1,-0.08234479557084318,2.460831455000687
177.93.140.66,16,16,1.0,-0.05862654852046123,-22.9145,-42.8233,0.0,0.0,2025-10-03 04:28:09,2025-10-14 07:43:33,-1,-0.06034208275203068,2.427145427418434
45.137.99.16,16,16,1.0,-0.05914698175716204,-23.5335,-46.6359,0.0,0.0,2025-10-03 04:30:59,2025-10-14 07:35:01,-1,-0.059015901200178855,2.4284332606026036
45.137.99.182,16,16,1.0,-0.05914698175716204,-23.5335,-46.6359,0.0,0.0,2025-10-03 04:14:02,2025-10-14 05:30:43,-1,-0.059015901200178855,2.4284332606026036
102.130.127.117,16,16,1.0,-0.03982486538183494,-29.0,24.0,0.0,0.0,2025-10-03 04:09:04,2025-10-14 07:39:53,-1,-0.05104734174413461,2.380619898769145
160.119.249.240,16,16,1.0,-0.03982486538183494,-29.0,24.0,0.0,0.0,2025-10-03 03:45:57,2025-10-14 07:29:00,-1,-0.05104734174413461,2.380619898769145
165.73.242.163,16,16,1.0,-0.03982486538183494,-29.0,24.0,0.0,0.0,2025-10-03 04:41:23,2025-10-14 07:11:33,-1,-0.05104734174413461,2.380619898769145
177.149.144.31,2,2,1.0,-0.05034848305781103,-16.6391,-49.2622,0.0,0.0,2025-10-13 07:45:24,2025-10-14 07:21:07,-1,-0.049811757121331124,2.4066610181767962
177.149.154.177,5,5,1.0,-0.05034848305781103,-16.6391,-49.2622,0.0,0.0,2025-10-09 07:08:39,2025-10-11 17:25:45,-1,-0.049811757121331124,2.4066610181767962
177.149.156.209,6,6,1.0,-0.05034848305781103,-16.6391,-49.2622,0.0,0.0,2025-10-02 17:39:01,2025-10-02 17:39:01,-1,-0.049811757121331124,2.4066610181767962
179.35.10.212,12,12,1.0,-0.05034848305781103,-16.6391,-49.2622,0.0,0.0,2025-10-03 04:41:54,2025-10-08 06:17:36,-1,-0.049811757121331124,2.4066610181767962
72.235.129.116,16,16,1.0,-0.04112736250103721,21.289,-157.8028,0.0,0.0,2025-10-03 04:42:37,2025-10-14 07:40:53,-1,-0.04902216477831389,2.383842980797932
102.130.113.9,16,16,1.0,-0.03705811125589342,-26.3811,27.8376,0.0,0.0,2025-10-03 04:44:32,2025-10-14 07:47:25,-1,-0.047455444066902275,2.3737734532991874
102.130.117.167,16,16,1.0,-0.03705811125589342,-26.3811,27.8376,0.0,0.0,2025-10-03 04:43:49,2025-10-14 07:23:46,-1,-0.047455444066902275,2.3737734532991874
202.182.99.129,16,16,1.0,-0.03034316311859997,35.5819,139.7663,0.0,0.0,2025-10-03 03:29:26,2025-10-14 07:33:19,-1,-0.04044748121826669,2.3571570413728367
13.231.183.75,9,9,1.0,-0.030531328416805836,35.6893,139.6899,0.0,0.0,2025-10-03 04:41:41,2025-10-05 23:22:07,-1,-0.04025764875146465,2.3576226640465054
59.132.61.98,1,1,1.0,-0.030531328416805836,35.6897,139.6895,,,,,-1,-0.04025764875146465,2.3576226640465054
190.120.229.2,16,16,1.0,-0.042016988676714884,-12.0464,-77.0428,0.0,0.0,2025-10-03 04:23:56,2025-10-14 07:32:09,-1,-0.03989026771303317,2.3860443969061857
190.120.229.98,16,16,1.0,-0.042016988676714884,-12.0464,-77.0428,0.0,0.0,2025-10-03 04:34:59,2025-10-14 07:20:39,-1,-0.03989026771303317,2.3860443969061857
114.35.245.150,16,16,1.0,-0.024568269738038828,25.0504,121.5324,0.0,0.0,2025-10-03 04:02:10,2025-10-14 07:33:46,-1,-0.02893387450469853,2.3428668331269638
118.163.74.160,16,16,1.0,-0.024877380937138538,24.9389,121.5422,0.0,0.0,2025-10-03 03:44:32,2025-10-14 07:19:21,-1,-0.028779242016212736,2.3436317413452064
220.135.36.173,16,16,1.0,-0.024877380937138538,24.9389,121.5422,0.0,0.0,2025-10-03 04:04:58,2025-10-14 07:46:19,-1,-0.028779242016212736,2.3436317413452064
103.146.203.11,16,16,1.0,-0.020413221461499598,-6.9214,106.9259,0.0,0.0,2025-10-03 04:13:24,2025-10-14 07:12:02,-1,-0.026218121040453735,2.3325849973889623
45.154.98.33,16,16,1.0,-0.018655893178421423,22.2908,114.1501,0.0,0.0,2025-10-03 04:10:18,2025-10-14 07:27:16,-1,-0.026021170605528332,2.328236417169961
103.109.101.105,16,16,1.0,-0.01831783278252741,22.2578,114.1657,0.0,0.0,2025-10-03 04:31:53,2025-10-14 07:12:45,-1,-0.02571325399951041,2.3273998729883374
103.28.52.93,16,16,1.0,-0.017064389853607143,-6.1728,106.8272,0.0,0.0,2025-10-03 04:16:22,2025-10-14 07:36:21,-1,-0.023642398604367898,2.3242981775459794
121.78.28.166,16,16,1.0,-0.01274076437525673,37.5112,126.9741,0.0,0.0,2025-10-03 04:04:18,2025-10-14 07:01:31,-1,-0.02259788563932963,2.313599190674505
180.150.226.99,16,16,1.0,-0.01274076437525673,37.5112,126.9741,0.0,0.0,2025-10-03 04:18:36,2025-10-14 07:37:05,-1,-0.02259788563932963,2.313599190674505
27.255.75.198,16,16,1.0,-0.01274076437525673,37.5112,126.9741,0.0,0.0,2025-10-03 04:26:49,2025-10-14 07:26:25,-1,-0.02259788563932963,2.313599190674505
103.91.65.44,5,5,1.0,-0.016160347363652683,2.5,112.5,0.0,0.0,2025-10-10 07:04:05,2025-10-14 07:15:12,-1,-0.01786955359190101,2.322061087682459
123.253.35.32,16,16,1.0,-0.016160347363652683,2.5,112.5,0.0,0.0,2025-10-03 04:29:47,2025-10-14 07:20:11,-1,-0.01786955359190101,2.322061087682459
125.212.241.131,16,16,1.0,-0.01368018077952482,10.822,106.6257,0.0,0.0,2025-10-03 04:31:08,2025-10-14 07:44:19,-1,-0.01750172681510198,2.3159238147258803
104.167.241.4,16,16,1.0,-0.007297624830020832,8.4928,-13.2351,0.0,0.0,2025-10-03 04:14:48,2025-10-14 07:05:53,-1,-0.014224106683431548,2.300129920769957
31.129.22.65,16,0,0.0,0.009559562727423643,50.2705,127.5352,0.0,0.0,2025-10-03 04:16:19,2025-10-14 07:14:25,-1,-0.014078987679868482,1.2584161254225463
131.72.79.38,16,16,1.0,-0.01660667363337298,10.2732,-61.3847,0.0,0.0,2025-10-03 04:09:45,2025-10-14 07:37:41,-1,-0.013903543207827496,2.3231655401666167
138.59.18.110,16,16,1.0,-0.018315007782102488,10.0029,-84.0,0.0,0.0,2025-10-03 04:13:04,2025-10-14 07:12:44,-1,-0.013061053621099883,2.3273928824100345
200.122.181.2,16,16,1.0,-0.018315007782102488,10.0029,-84.0,0.0,0.0,2025-10-03 04:05:54,2025-10-14 07:31:54,-1,-0.013061053621099883,2.3273928824100345
43.160.194.14,16,16,1.0,-0.004854536293658618,34.7732,113.722,0.0,0.0,2025-10-03 04:03:35,2025-10-14 07:00:49,-1,-0.012860044571072149,2.2940843989486814
196.251.69.116,16,0,0.0,0.008850970356807819,8.1,-1.2,0.0,0.0,2025-10-03 04:42:20,2025-10-14 07:45:57,-1,-0.0011568424471589678,1.2601695660265966
172.104.182.84,16,16,1.0,-0.0006271143499489984,1.3036,103.8554,0.0,0.0,2025-10-03 04:02:12,2025-10-14 07:42:50,-1,-0.0003902869381392504,2.283623471631455
172.104.186.73,16,16,1.0,-0.0006271143499489984,1.3036,103.8554,0.0,0.0,2025-10-03 04:46:05,2025-10-14 07:15:32,-1,-0.0003902869381392504,2.283623471631455
104.167.242.116,6,6,1.0,-0.00044709091195849204,1.385,103.7473,0.0,0.0,2025-10-02 23:23:40,2025-10-02 23:23:40,-1,-9.392872859614876e-05,2.283177996321611
104.167.242.117,16,16,1.0,-0.00044709091195849204,1.385,103.7473,0.0,0.0,2025-10-03 04:26:00,2025-10-14 07:46:56,-1,-9.392872859614876e-05,2.283177996321611
104.167.242.118,16,16,1.0,-0.00044709091195849204,1.385,103.7473,0.0,0.0,2025-10-03 04:11:31,2025-10-14 07:32:45,-1,-9.392872859614876e-05,2.283177996321611
