ip,timestamp,lat,lon,pred,score,source_file
149.56.44.47,2025-10-06 07:36:23,45.4995,-73.5848,-1,-0.014333987028222528,20251006173520-TorIP_geocoded.csv
216.73.159.75,2025-10-06 07:26:50,-39.8,-73.2333,-1,-0.21433379730337665,20251006173520-TorIP_geocoded.csv
185.165.169.239,2025-10-06 07:45:36,-4.5833,55.6667,-1,-0.12683842946738144,20251006173520-TorIP_geocoded.csv
124.198.132.172,2025-10-06 07:42:21,-42.0,174.0,-1,-0.2206928678890665,20251006173520-TorIP_geocoded.csv
190.120.229.98,2025-10-06 07:31:25,-12.0464,-77.0428,-1,-0.17997804439046838,20251006173520-TorIP_geocoded.csv
139.99.172.11,2025-10-06 07:44:18,-33.8601,151.2101,-1,-0.20466624740487638,20251006173520-TorIP_geocoded.csv
138.59.18.110,2025-10-06 07:36:57,10.0029,-84.0,-1,-0.1504372045575888,20251006173520-TorIP_geocoded.csv
185.246.188.73,2025-10-06 07:32:41,-4.5833,55.6667,-1,-0.12683842946738144,20251006173520-TorIP_geocoded.csv
102.130.113.9,2025-10-06 07:34:51,-26.3811,27.8376,-1,-0.17052977283427917,20251006173520-TorIP_geocoded.csv
185.227.134.106,2025-10-06 07:09:45,47.4902,-122.3004,-1,-0.11107355913264394,20251006173520-TorIP_geocoded.csv
71.19.144.106,2025-10-06 07:31:36,37.353,-121.9543,-1,-0.022149221538128816,20251006173520-TorIP_geocoded.csv
185.246.188.74,2025-10-06 07:42:51,-4.5833,55.6667,-1,-0.12683842946738144,20251006173520-TorIP_geocoded.csv
51.81.222.62,2025-10-06 07:36:41,45.5229,-122.9898,-1,-0.11258823538561746,20251006173520-TorIP_geocoded.csv
173.255.198.243,2025-10-06 07:11:06,32.9473,-96.7028,-1,-0.017967299107251256,20251006173520-TorIP_geocoded.csv
216.73.159.101,2025-10-06 07:16:43,-39.8,-73.2333,-1,-0.21433379730337665,20251006173520-TorIP_geocoded.csv
160.119.249.240,2025-10-06 07:31:24,-29.0,24.0,-1,-0.1700292056756848,20251006173520-TorIP_geocoded.csv
124.198.131.253,2025-10-06 07:46:42,-42.0,174.0,-1,-0.2206928678890665,20251006173520-TorIP_geocoded.csv
103.109.101.105,2025-10-06 07:44:30,22.2578,114.1657,-1,-0.1556498745201731,20251006173520-TorIP_geocoded.csv
72.14.179.10,2025-10-06 07:02:40,32.9473,-96.7028,-1,-0.017967299107251256,20251006173520-TorIP_geocoded.csv
198.58.107.53,2025-10-06 07:28:30,32.9473,-96.7028,-1,-0.017967299107251256,20251006173520-TorIP_geocoded.csv
51.222.142.67,2025-10-06 07:38:44,45.4995,-73.5848,-1,-0.014333987028222528,20251006173520-TorIP_geocoded.csv
93.95.228.125,2025-10-06 07:25:23,64.1439,-21.98,-1,-0.12834912586587033,20251006173520-TorIP_geocoded.csv
125.212.241.131,2025-10-06 07:01:31,10.822,106.6257,-1,-0.15691790093688585,20251006173520-TorIP_geocoded.csv
185.246.189.99,2025-10-06 07:06:51,-4.5833,55.6667,-1,-0.12683842946738144,20251006173520-TorIP_geocoded.csv
185.246.188.149,2025-10-06 07:39:31,-4.5833,55.6667,-1,-0.12683842946738144,20251006173520-TorIP_geocoded.csv
123.253.35.32,2025-10-06 07:03:13,2.5,112.5,-1,-0.151326803754132,20251006173520-TorIP_geocoded.csv
185.191.204.254,2025-10-06 05:12:40,31.5,34.75,-1,-0.0742721277045928,20251006173520-TorIP_geocoded.csv
102.130.117.167,2025-10-06 07:43:15,-26.3811,27.8376,-1,-0.17052977283427917,20251006173520-TorIP_geocoded.csv
185.112.146.167,2025-10-06 07:37:16,65.0,-18.0,-1,-0.12741524522535308,20251006173520-TorIP_geocoded.csv
185.106.102.102,2025-10-06 07:08:17,35.0,33.0,-1,-0.03799521285010776,20251006173520-TorIP_geocoded.csv
165.73.242.163,2025-10-06 07:04:44,-29.0,24.0,-1,-0.1700292056756848,20251006173520-TorIP_geocoded.csv
27.255.75.198,2025-10-06 07:30:56,37.5112,126.9741,-1,-0.13312076096672487,20251006173520-TorIP_geocoded.csv
114.35.245.150,2025-10-06 07:18:19,25.0504,121.5324,-1,-0.15028360356014758,20251006173520-TorIP_geocoded.csv
103.164.54.199,2025-10-06 07:43:29,1.3673,103.8014,-1,-0.13507596422125012,20251006173520-TorIP_geocoded.csv
24.240.72.170,2025-10-06 07:39:05,45.21,-93.6607,-1,-0.027693697821092322,20251006173520-TorIP_geocoded.csv
2.56.10.36,2025-10-06 07:14:11,-4.5833,55.6667,-1,-0.12683842946738144,20251006173520-TorIP_geocoded.csv
93.95.231.88,2025-10-06 07:41:24,65.0,-18.0,-1,-0.12741524522535308,20251006173520-TorIP_geocoded.csv
202.182.99.129,2025-10-06 07:36:04,35.5819,139.7663,-1,-0.1618608844772711,20251006173520-TorIP_geocoded.csv
31.129.22.65,2025-10-06 06:27:44,50.2705,127.5352,-1,-0.11787088789014122,20251006173520-TorIP_geocoded.csv
200.122.181.2,2025-10-06 07:43:08,10.0029,-84.0,-1,-0.1504372045575888,20251006173520-TorIP_geocoded.csv
82.221.128.191,2025-10-06 07:15:38,65.0,-18.0,-1,-0.12741524522535308,20251006173520-TorIP_geocoded.csv
82.221.131.5,2025-10-06 07:17:00,65.0,-18.0,-1,-0.12741524522535308,20251006173520-TorIP_geocoded.csv
193.36.132.21,2025-10-06 07:41:07,1.2848,103.7857,-1,-0.13464102238973752,20251006173520-TorIP_geocoded.csv
185.165.171.84,2025-10-06 06:20:37,-4.5833,55.6667,-1,-0.12683842946738144,20251006173520-TorIP_geocoded.csv
124.198.131.108,2025-10-06 07:46:18,-42.0,174.0,-1,-0.2206928678890665,20251006173520-TorIP_geocoded.csv
139.99.8.57,2025-10-06 07:20:33,1.2746,103.8378,-1,-0.13396932331682865,20251006173520-TorIP_geocoded.csv
172.104.182.84,2025-10-06 07:46:45,1.3036,103.8554,-1,-0.13377876202000316,20251006173520-TorIP_geocoded.csv
72.235.129.116,2025-10-06 07:39:54,21.289,-157.8028,-1,-0.17771218998073224,20251006173520-TorIP_geocoded.csv
190.103.179.98,2025-10-06 07:00:54,31.7198,-106.4195,-1,-0.059374862222385416,20251006173520-TorIP_geocoded.csv
82.221.139.190,2025-10-06 07:33:28,65.0,-18.0,-1,-0.12741524522535308,20251006173520-TorIP_geocoded.csv
121.78.28.166,2025-10-06 07:21:53,37.5112,126.9741,-1,-0.13312076096672487,20251006173520-TorIP_geocoded.csv
93.95.231.14,2025-10-06 07:35:58,65.0,-18.0,-1,-0.12741524522535308,20251006173520-TorIP_geocoded.csv
103.28.52.93,2025-10-06 07:12:37,-6.1728,106.8272,-1,-0.1543225727941181,20251006173520-TorIP_geocoded.csv
93.95.227.37,2025-10-06 07:26:05,65.0,-18.0,-1,-0.12741524522535308,20251006173520-TorIP_geocoded.csv
172.104.186.73,2025-10-06 07:20:11,1.3036,103.8554,-1,-0.13377876202000316,20251006173520-TorIP_geocoded.csv
103.146.203.11,2025-10-06 07:31:28,-6.9214,106.9259,-1,-0.15605564802040783,20251006173520-TorIP_geocoded.csv
166.70.207.2,2025-10-06 07:38:05,40.3119,-111.6959,-1,-0.006044703155303588,20251006173520-TorIP_geocoded.csv
161.129.68.162,2025-10-06 07:04:32,32.8137,-96.8704,-1,-0.026458789690890328,20251006173520-TorIP_geocoded.csv
125.253.56.119,2025-10-06 07:33:41,-27.4719,153.0196,-1,-0.20519109297017957,20251006173520-TorIP_geocoded.csv
154.53.58.161,2025-10-06 07:37:06,47.6034,-122.3414,-1,-0.11393327609806492,20251006173520-TorIP_geocoded.csv
124.198.131.223,2025-10-06 07:38:08,-42.0,174.0,-1,-0.2206928678890665,20251006173520-TorIP_geocoded.csv
185.247.226.95,2025-10-06 07:17:20,-4.5833,55.6667,-1,-0.12683842946738144,20251006173520-TorIP_geocoded.csv
131.72.79.38,2025-10-06 07:05:16,10.2732,-61.3847,-1,-0.14460556885441656,20251006173520-TorIP_geocoded.csv
124.198.132.237,2025-10-06 07:37:01,-42.0,174.0,-1,-0.2206928678890665,20251006173520-TorIP_geocoded.csv
203.55.81.1,2025-10-06 07:42:17,-33.494,143.2104,-1,-0.2010257897119242,20251006173520-TorIP_geocoded.csv
203.55.81.2,2025-10-06 07:45:15,-33.494,143.2104,-1,-0.2010257897119242,20251006173520-TorIP_geocoded.csv
94.74.164.89,2025-10-06 07:37:15,35.698,51.4115,-1,-0.07439319946942935,20251006173520-TorIP_geocoded.csv
43.160.194.14,2025-10-06 07:35:12,34.7732,113.722,-1,-0.13870816012743425,20251006173520-TorIP_geocoded.csv
180.150.226.99,2025-10-06 07:41:53,37.5112,126.9741,-1,-0.13312076096672487,20251006173520-TorIP_geocoded.csv
72.211.49.235,2025-10-06 07:27:08,32.7994,-117.1686,-1,-0.08033296924758404,20251006173520-TorIP_geocoded.csv
185.246.188.115,2025-10-06 07:45:49,-4.5833,55.6667,-1,-0.12683842946738144,20251006173520-TorIP_geocoded.csv
162.220.14.54,2025-10-06 07:16:02,34.0485,-118.2529,-1,-0.060122872609016054,20251006173520-TorIP_geocoded.csv
162.220.14.78,2025-10-06 07:13:49,34.0485,-118.2529,-1,-0.060122872609016054,20251006173520-TorIP_geocoded.csv
124.198.131.62,2025-10-06 07:39:40,-42.0,174.0,-1,-0.2206928678890665,20251006173520-TorIP_geocoded.csv
124.198.132.13,2025-10-06 07:45:59,-42.0,174.0,-1,-0.2206928678890665,20251006173520-TorIP_geocoded.csv
118.163.74.160,2025-10-06 07:31:51,24.9389,121.5422,-1,-0.14982514846193196,20251006173520-TorIP_geocoded.csv
220.135.36.173,2025-10-06 07:42:24,24.9389,121.5422,-1,-0.14982514846193196,20251006173520-TorIP_geocoded.csv
80.253.251.56,2025-10-06 07:30:32,-4.5833,55.6667,-1,-0.12683842946738144,20251006173520-TorIP_geocoded.csv
104.167.241.4,2025-10-06 07:39:58,8.4928,-13.2351,-1,-0.14347344424606923,20251006173520-TorIP_geocoded.csv
103.253.24.18,2025-10-06 07:30:44,1.3673,103.8014,-1,-0.13507596422125012,20251006173520-TorIP_geocoded.csv
45.154.98.33,2025-10-06 07:11:10,22.2908,114.1501,-1,-0.1556498745201731,20251006173520-TorIP_geocoded.csv
88.151.192.2,2025-10-06 07:45:01,40.504,47.4997,-1,-0.035584422534943094,20251006173520-TorIP_geocoded.csv
177.93.140.66,2025-10-06 07:02:04,-22.9145,-42.8233,-1,-0.19067025347076527,20251006173520-TorIP_geocoded.csv
45.137.99.16,2025-10-06 07:08:57,-23.5335,-46.6359,-1,-0.19040601048865813,20251006173520-TorIP_geocoded.csv
45.61.185.172,2025-10-06 07:27:24,25.7806,-80.1826,-1,-0.08394125272869624,20251006173520-TorIP_geocoded.csv
93.94.51.243,2025-10-06 07:45:46,33.0,44.0,-1,-0.07662199052618412,20251006173520-TorIP_geocoded.csv
45.137.99.182,2025-10-06 07:11:04,-23.5335,-46.6359,-1,-0.19040601048865813,20251006173520-TorIP_geocoded.csv
37.46.196.22,2025-10-06 07:01:33,25.7806,-80.1826,-1,-0.08394125272869624,20251006173520-TorIP_geocoded.csv
82.221.131.71,2025-10-06 07:28:37,65.0,-18.0,-1,-0.12741524522535308,20251006173520-TorIP_geocoded.csv
172.105.174.195,2025-10-06 07:38:57,-33.8601,151.2101,-1,-0.20466624740487638,20251006173520-TorIP_geocoded.csv
178.17.58.159,2025-10-06 07:42:20,33.0,44.0,-1,-0.07662199052618412,20251006173520-TorIP_geocoded.csv
124.198.131.29,2025-10-06 07:44:29,-42.0,174.0,-1,-0.2206928678890665,20251006173520-TorIP_geocoded.csv
45.61.188.15,2025-10-06 06:20:47,25.7806,-80.1826,-1,-0.08394125272869624,20251006173520-TorIP_geocoded.csv
216.239.90.19,2025-10-06 07:08:27,45.4995,-73.5848,-1,-0.014333987028222528,20251006173520-TorIP_geocoded.csv
151.243.213.150,2025-10-05 20:19:41,35.698,51.4115,-1,-0.07439319946942935,20251006173520-TorIP_geocoded.csv
104.167.242.117,2025-10-06 07:46:14,1.385,103.7473,-1,-0.13674015212845214,20251006173520-TorIP_geocoded.csv
104.167.242.118,2025-10-06 07:21:55,1.385,103.7473,-1,-0.13674015212845214,20251006173520-TorIP_geocoded.csv
93.94.52.229,2025-10-06 07:31:17,33.0,44.0,-1,-0.07662199052618412,20251006173520-TorIP_geocoded.csv
107.172.61.206,2025-10-06 07:13:14,47.6034,-122.3414,-1,-0.11393327609806492,20251006173520-TorIP_geocoded.csv
124.198.132.52,2025-10-06 07:39:25,-42.0,174.0,-1,-0.2206928678890665,20251006173520-TorIP_geocoded.csv
185.231.33.38,2025-10-06 07:19:08,-4.5833,55.6667,-1,-0.12683842946738144,20251006173520-TorIP_geocoded.csv
45.83.31.79,2025-10-06 06:25:06,34.0544,-118.2441,-1,-0.060122872609016054,20251006173520-TorIP_geocoded.csv
190.120.229.2,2025-10-06 07:14:08,-12.0464,-77.0428,-1,-0.17997804439046838,20251006173520-TorIP_geocoded.csv
82.221.131.86,2025-10-06 07:39:19,65.0,-18.0,-1,-0.12741524522535308,20251006173520-TorIP_geocoded.csv
196.251.69.116,2025-10-06 07:06:15,8.1,-1.2,-1,-0.1278086012732096,20251006173520-TorIP_geocoded.csv
102.130.127.117,2025-10-06 07:35:20,-29.0,24.0,-1,-0.1700292056756848,20251006173520-TorIP_geocoded.csv
151.243.109.167,2025-10-06 07:34:10,35.698,51.4115,-1,-0.07439319946942935,20251006173520-TorIP_geocoded.csv
124.198.131.114,2025-10-06 07:46:43,-42.0,174.0,-1,-0.2206928678890665,20251006173520-TorIP_geocoded.csv
13.231.183.75,2025-10-05 23:22:07,35.6893,139.6899,-1,-0.16116157453830282,20251006173520-TorIP_geocoded.csv
179.35.10.212,2025-10-06 07:02:34,-16.6391,-49.2622,-1,-0.18899153013647696,20251006173520-TorIP_geocoded.csv
185.112.144.11,2025-10-06 07:23:22,65.0,-18.0,-1,-0.12741524522535308,20251006173520-TorIP_geocoded.csv
